database,duplicateHandling,enqueue,initialization,maxMemory,nullHandling,pINDCreation,pINDValidation,pINDs,spilledFiles,threads,threshold
TPCH_1,AWARE,17891.0,11047.0,1,SUBSET,0.0,3724.0,96.0,242.0,12.0,1.0
TPCH_1,AWARE,17235.0,11183.0,1,SUBSET,0.0,3676.0,96.0,244.0,12.0,1.0
TPCH_1,AWARE,17658.0,11187.0,1,SUBSET,1.0,3808.0,96.0,244.0,12.0,1.0
TPCH_1,AWARE,17315.0,11152.0,1,SUBSET,1.0,3637.0,96.0,243.0,12.0,1.0
TPCH_1,AWARE,17341.0,11082.0,1,SUBSET,0.0,3703.0,96.0,244.0,12.0,1.0
TPCH_1,AWARE,38233.0,13969.0,1,SUBSET,0.0,3543.0,96.0,178.0,1.0,1.0
TPCH_1,AWARE,37566.0,14088.0,1,SUBSET,0.0,3565.0,96.0,175.0,1.0,1.0
TPCH_1,AWARE,38059.0,14101.0,1,SUBSET,0.0,3565.0,96.0,172.0,1.0,1.0
TPCH_1,AWARE,37892.0,13960.0,1,SUBSET,1.0,3583.0,96.0,177.0,1.0,1.0
TPCH_1,AWARE,37511.0,14070.0,1,SUBSET,1.0,3562.0,96.0,177.0,1.0,1.0
TPCH_1,AWARE,16826.0,11107.0,1,SUBSET,0.0,3552.0,96.0,236.0,4.0,1.0
TPCH_1,AWARE,16836.0,11363.0,1,SUBSET,2.0,4521.0,96.0,238.0,4.0,1.0
TPCH_1,AWARE,16812.0,11383.0,1,SUBSET,2.0,4353.0,96.0,238.0,4.0,1.0
TPCH_1,AWARE,16957.0,11332.0,1,SUBSET,2.0,4368.0,96.0,238.0,4.0,1.0
TPCH_1,AWARE,16583.0,11185.0,1,SUBSET,2.0,4342.0,96.0,238.0,4.0,1.0
TPCH_1,AWARE,21140.0,11082.0,25,SUBSET,0.0,3685.0,92.0,29.0,12.0,1.0
TPCH_1,AWARE,21279.0,11030.0,25,SUBSET,0.0,3781.0,93.0,24.0,12.0,1.0
TPCH_1,AWARE,21314.0,10982.0,25,SUBSET,0.0,3762.0,94.0,27.0,12.0,1.0
TPCH_1,AWARE,21592.0,11095.0,25,SUBSET,0.0,3756.0,93.0,28.0,12.0,1.0
TPCH_1,AWARE,20512.0,11024.0,25,SUBSET,0.0,3609.0,93.0,24.0,12.0,1.0
TPCH_1,AWARE,43297.0,14865.0,25,SUBSET,0.0,3767.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,43221.0,14829.0,25,SUBSET,1.0,3623.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,43164.0,14670.0,25,SUBSET,0.0,3716.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,43441.0,15095.0,25,SUBSET,0.0,3745.0,95.0,2.0,1.0,1.0
TPCH_1,AWARE,43703.0,14666.0,25,SUBSET,0.0,3733.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,22217.0,11503.0,25,SUBSET,0.0,3546.0,93.0,15.0,4.0,1.0
TPCH_1,AWARE,22512.0,11262.0,25,SUBSET,0.0,3501.0,95.0,15.0,4.0,1.0
TPCH_1,AWARE,22362.0,11150.0,25,SUBSET,0.0,3508.0,95.0,15.0,4.0,1.0
TPCH_1,AWARE,22753.0,11120.0,25,SUBSET,0.0,3487.0,95.0,18.0,4.0,1.0
TPCH_1,AWARE,22169.0,11057.0,25,SUBSET,0.0,3517.0,95.0,13.0,4.0,1.0
TPCH_1,AWARE,19059.0,11184.0,50,SUBSET,1.0,3915.0,92.0,6.0,12.0,1.0
TPCH_1,AWARE,19109.0,11916.0,50,SUBSET,0.0,4069.0,96.0,6.0,12.0,1.0
TPCH_1,AWARE,17194.0,10920.0,50,SUBSET,1.0,3692.0,96.0,4.0,12.0,1.0
TPCH_1,AWARE,18241.0,10921.0,50,SUBSET,0.0,3726.0,96.0,8.0,12.0,1.0
TPCH_1,AWARE,17736.0,11027.0,50,SUBSET,0.0,3649.0,96.0,6.0,12.0,1.0
TPCH_1,AWARE,43240.0,15080.0,50,SUBSET,0.0,3825.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,43483.0,14805.0,50,SUBSET,0.0,3640.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,43217.0,15002.0,50,SUBSET,0.0,3710.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,44084.0,14732.0,50,SUBSET,0.0,3784.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,43569.0,14771.0,50,SUBSET,0.0,3803.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,20668.0,11346.0,50,SUBSET,0.0,3579.0,96.0,2.0,4.0,1.0
TPCH_1,AWARE,19927.0,11095.0,50,SUBSET,0.0,3703.0,96.0,0.0,4.0,1.0
TPCH_1,AWARE,19762.0,11202.0,50,SUBSET,0.0,3842.0,96.0,0.0,4.0,1.0
TPCH_1,AWARE,19728.0,11250.0,50,SUBSET,0.0,3868.0,96.0,0.0,4.0,1.0
TPCH_1,AWARE,19753.0,11169.0,50,SUBSET,0.0,3916.0,96.0,0.0,4.0,1.0
TPCH_1,AWARE,20450.0,11058.0,5,SUBSET,0.0,3711.0,96.0,149.0,12.0,1.0
TPCH_1,AWARE,19807.0,10936.0,5,SUBSET,0.0,3641.0,96.0,147.0,12.0,1.0
TPCH_1,AWARE,20142.0,10847.0,5,SUBSET,0.0,3648.0,96.0,149.0,12.0,1.0
TPCH_1,AWARE,19912.0,10946.0,5,SUBSET,0.0,3624.0,96.0,150.0,12.0,1.0
TPCH_1,AWARE,20008.0,10961.0,5,SUBSET,0.0,3630.0,96.0,154.0,12.0,1.0
TPCH_1,AWARE,45085.0,14729.0,5,SUBSET,2.0,4571.0,96.0,26.0,1.0,1.0
TPCH_1,AWARE,45498.0,14861.0,5,SUBSET,0.0,4337.0,96.0,22.0,1.0,1.0
TPCH_1,AWARE,43698.0,14071.0,5,SUBSET,1.0,3622.0,96.0,22.0,1.0,1.0
TPCH_1,AWARE,44527.0,14184.0,5,SUBSET,3.0,4368.0,96.0,23.0,1.0,1.0
TPCH_1,AWARE,43491.0,14066.0,5,SUBSET,0.0,3534.0,96.0,24.0,1.0,1.0
TPCH_1,AWARE,21603.0,11167.0,5,SUBSET,0.0,3709.0,94.0,88.0,4.0,1.0
TPCH_1,AWARE,21545.0,11085.0,5,SUBSET,0.0,3511.0,93.0,84.0,4.0,1.0
TPCH_1,AWARE,21429.0,11143.0,5,SUBSET,0.0,3683.0,93.0,79.0,4.0,1.0
TPCH_1,AWARE,21506.0,11263.0,5,SUBSET,0.0,3705.0,94.0,91.0,4.0,1.0
TPCH_1,AWARE,21721.0,11110.0,5,SUBSET,0.0,3557.0,96.0,91.0,4.0,1.0
TPCH_1,AWARE,16770.0,11495.0,90,SUBSET,1.0,4307.0,96.0,0.0,12.0,1.0
TPCH_1,AWARE,16580.0,11270.0,90,SUBSET,0.0,3871.0,96.0,0.0,12.0,1.0
TPCH_1,AWARE,16500.0,11500.0,90,SUBSET,0.0,3844.0,96.0,0.0,12.0,1.0
TPCH_1,AWARE,17574.0,11465.0,90,SUBSET,0.0,3795.0,96.0,0.0,12.0,1.0
TPCH_1,AWARE,16476.0,11191.0,90,SUBSET,0.0,4065.0,96.0,0.0,12.0,1.0
TPCH_1,AWARE,42373.0,16615.0,90,SUBSET,4.0,4165.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,42767.0,15008.0,90,SUBSET,1.0,3712.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,43066.0,14871.0,90,SUBSET,0.0,3674.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,43096.0,14725.0,90,SUBSET,0.0,4042.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,43096.0,14747.0,90,SUBSET,0.0,3757.0,96.0,0.0,1.0,1.0
TPCH_1,AWARE,19749.0,11046.0,90,SUBSET,1.0,3931.0,96.0,0.0,4.0,1.0
TPCH_1,AWARE,19644.0,11639.0,90,SUBSET,0.0,3913.0,96.0,0.0,4.0,1.0
TPCH_1,AWARE,19381.0,11470.0,90,SUBSET,0.0,3845.0,96.0,0.0,4.0,1.0
TPCH_1,AWARE,19467.0,11334.0,90,SUBSET,1.0,3938.0,96.0,0.0,4.0,1.0
TPCH_1,AWARE,19675.0,11280.0,90,SUBSET,1.0,3908.0,96.0,0.0,4.0,1.0
